# spatial freqs [1/mm], spectrum [a.u.]
-1.270000000000000000e+02,3.216436469391739195e+01
-1.260000000000000000e+02,2.411949783591839847e+01
-1.250000000000000000e+02,3.114642448016333631e+01
-1.240000000000000000e+02,2.398650227727851458e+01
-1.230000000000000000e+02,3.297892502880105070e+01
-1.220000000000000000e+02,2.550814296655847002e+01
-1.210000000000000000e+02,3.200668006229934548e+01
-1.200000000000000000e+02,2.624874511475519512e+01
-1.190000000000000000e+02,3.353961800635379120e+01
-1.180000000000000000e+02,2.422212879275001995e+01
-1.170000000000000000e+02,3.167153372862186345e+01
-1.160000000000000000e+02,2.462016773066250863e+01
-1.150000000000000000e+02,3.337244427438621841e+01
-1.140000000000000000e+02,2.423233830236205577e+01
-1.130000000000000000e+02,3.515193434796609750e+01
-1.120000000000000000e+02,2.553825337639982607e+01
-1.110000000000000000e+02,3.658794198059715086e+01
-1.100000000000000000e+02,2.686681488827528952e+01
-1.090000000000000000e+02,3.442256703002637863e+01
-1.080000000000000000e+02,2.971002797010070395e+01
-1.070000000000000000e+02,3.567293146364426093e+01
-1.060000000000000000e+02,3.150941966644882797e+01
-1.050000000000000000e+02,3.946252548916137926e+01
-1.040000000000000000e+02,3.433215622025062430e+01
-1.030000000000000000e+02,4.150298884100742214e+01
-1.020000000000000000e+02,3.595523534507555041e+01
-1.010000000000000000e+02,4.433408945145615832e+01
-1.000000000000000000e+02,3.968359441986716263e+01
-9.900000000000000000e+01,4.846359323956190934e+01
-9.800000000000000000e+01,4.494942961761701383e+01
-9.700000000000000000e+01,5.082074802922197421e+01
-9.600000000000000000e+01,4.709311886688760751e+01
-9.500000000000000000e+01,5.576390063602778469e+01
-9.400000000000000000e+01,5.153006618499559011e+01
-9.300000000000000000e+01,6.223104884623269584e+01
-9.200000000000000000e+01,6.239977175123780029e+01
-9.100000000000000000e+01,6.552883637150240759e+01
-9.000000000000000000e+01,6.543114394500229025e+01
-8.900000000000000000e+01,7.425526259779257998e+01
-8.800000000000000000e+01,7.233402856078932075e+01
-8.700000000000000000e+01,8.782301260230704543e+01
-8.600000000000000000e+01,8.654342889977682773e+01
-8.500000000000000000e+01,8.794704567024895425e+01
-8.400000000000000000e+01,8.816968169511120834e+01
-8.300000000000000000e+01,9.526323706603012909e+01
-8.200000000000000000e+01,9.307241326547844551e+01
-8.100000000000000000e+01,1.048326282783075527e+02
-8.000000000000000000e+01,1.010740153556988332e+02
-7.900000000000000000e+01,1.112503520857936081e+02
-7.800000000000000000e+01,1.169945891043190898e+02
-7.700000000000000000e+01,1.232564096010998185e+02
-7.600000000000000000e+01,1.290286279796802660e+02
-7.500000000000000000e+01,1.360282642427784765e+02
-7.400000000000000000e+01,1.167325429947857884e+02
-7.300000000000000000e+01,1.311460807398016755e+02
-7.200000000000000000e+01,1.307599185043220302e+02
-7.100000000000000000e+01,1.535246921795160517e+02
-7.000000000000000000e+01,1.457057649406598898e+02
-6.900000000000000000e+01,1.635361588589395012e+02
-6.800000000000000000e+01,1.385719453728298731e+02
-6.700000000000000000e+01,1.640103380695178430e+02
-6.600000000000000000e+01,1.873909291221339686e+02
-6.500000000000000000e+01,1.759220699841276314e+02
-6.400000000000000000e+01,1.951812799553405569e+02
-6.300000000000000000e+01,1.889248774378231133e+02
-6.200000000000000000e+01,1.977496094047803012e+02
-6.100000000000000000e+01,2.240159234031437450e+02
-6.000000000000000000e+01,1.940575466899634307e+02
-5.900000000000000000e+01,2.276946877164311616e+02
-5.800000000000000000e+01,1.965755953306642709e+02
-5.700000000000000000e+01,2.439543005553145463e+02
-5.600000000000000000e+01,2.184134194497279964e+02
-5.500000000000000000e+01,2.527950768548220140e+02
-5.400000000000000000e+01,2.485747656021040086e+02
-5.300000000000000000e+01,2.765587537596043148e+02
-5.200000000000000000e+01,2.629478590976144119e+02
-5.100000000000000000e+01,2.809088615333937469e+02
-5.000000000000000000e+01,2.667805073078059195e+02
-4.900000000000000000e+01,2.899195938683556051e+02
-4.800000000000000000e+01,2.982889013192724406e+02
-4.700000000000000000e+01,2.875978435126696127e+02
-4.600000000000000000e+01,3.026807967782379478e+02
-4.500000000000000000e+01,3.092817222163573661e+02
-4.400000000000000000e+01,3.314849090487331864e+02
-4.300000000000000000e+01,3.143766288205395654e+02
-4.200000000000000000e+01,3.419478186233139922e+02
-4.100000000000000000e+01,3.232382182128952763e+02
-4.000000000000000000e+01,3.468664227706933048e+02
-3.900000000000000000e+01,3.687707506319329127e+02
-3.800000000000000000e+01,3.298933958382780816e+02
-3.700000000000000000e+01,3.835842126900725475e+02
-3.600000000000000000e+01,3.425641198427457539e+02
-3.500000000000000000e+01,4.019984006577494711e+02
-3.400000000000000000e+01,3.888667426495340464e+02
-3.300000000000000000e+01,3.914808556102216244e+02
-3.200000000000000000e+01,3.981907616481773289e+02
-3.100000000000000000e+01,4.331139544876235732e+02
-3.000000000000000000e+01,4.283548007359503345e+02
-2.900000000000000000e+01,4.165631564485649392e+02
-2.800000000000000000e+01,3.984334189045633821e+02
-2.700000000000000000e+01,4.243791666891148111e+02
-2.600000000000000000e+01,4.759764225296743234e+02
-2.500000000000000000e+01,4.387499667195155553e+02
-2.400000000000000000e+01,4.793040758724799275e+02
-2.300000000000000000e+01,4.652243030772154384e+02
-2.200000000000000000e+01,4.972457658880350095e+02
-2.100000000000000000e+01,4.965556302353571709e+02
-2.000000000000000000e+01,5.213596600533383025e+02
-1.900000000000000000e+01,5.503670756292106034e+02
-1.800000000000000000e+01,5.360429813825389829e+02
-1.700000000000000000e+01,5.410107474907681535e+02
-1.600000000000000000e+01,5.416362492550006209e+02
-1.500000000000000000e+01,6.151040520866451971e+02
-1.400000000000000000e+01,6.695121399839094920e+02
-1.300000000000000000e+01,6.941073851159771948e+02
-1.200000000000000000e+01,7.437360200250991511e+02
-1.100000000000000000e+01,9.024006004683272977e+02
-1.000000000000000000e+01,8.912427402227729090e+02
-9.000000000000000000e+00,1.040960377188984239e+03
-8.000000000000000000e+00,1.348494657432106578e+03
-7.000000000000000000e+00,1.432270540630595406e+03
-6.000000000000000000e+00,1.890082441464698604e+03
-5.000000000000000000e+00,2.695189148534073411e+03
-4.000000000000000000e+00,3.858116209995909685e+03
-3.000000000000000000e+00,7.501014746439140254e+03
-2.000000000000000000e+00,1.463264434181694742e+04
-1.000000000000000000e+00,2.409961040692628740e+04
0.000000000000000000e+00,2.649556917776457703e+04
1.000000000000000000e+00,2.409961040692628740e+04
2.000000000000000000e+00,1.463264434181694560e+04
3.000000000000000000e+00,7.501014746439139344e+03
4.000000000000000000e+00,3.858116209995909685e+03
5.000000000000000000e+00,2.695189148534073411e+03
6.000000000000000000e+00,1.890082441464698604e+03
7.000000000000000000e+00,1.432270540630595860e+03
8.000000000000000000e+00,1.348494657432109079e+03
9.000000000000000000e+00,1.040960377188982193e+03
1.000000000000000000e+01,8.912427402227740458e+02
1.100000000000000000e+01,9.024006004683265019e+02
1.200000000000000000e+01,7.437360200250982416e+02
1.300000000000000000e+01,6.941073851159770811e+02
1.400000000000000000e+01,6.695121399839091509e+02
1.500000000000000000e+01,6.151040520866431507e+02
1.600000000000000000e+01,5.416362492550015304e+02
1.700000000000000000e+01,5.410107474907680398e+02
1.800000000000000000e+01,5.360429813825401197e+02
1.900000000000000000e+01,5.503670756292104898e+02
2.000000000000000000e+01,5.213596600533385299e+02
2.100000000000000000e+01,4.965556302353580236e+02
2.200000000000000000e+01,4.972457658880350095e+02
2.300000000000000000e+01,4.652243030772158363e+02
2.400000000000000000e+01,4.793040758724789612e+02
2.500000000000000000e+01,4.387499667195160669e+02
2.600000000000000000e+01,4.759764225296740960e+02
2.700000000000000000e+01,4.243791666891144132e+02
2.800000000000000000e+01,3.984334189045632684e+02
2.900000000000000000e+01,4.165631564485644276e+02
3.000000000000000000e+01,4.283548007359505050e+02
3.100000000000000000e+01,4.331139544876237437e+02
3.200000000000000000e+01,3.981907616481772720e+02
3.300000000000000000e+01,3.914808556102221928e+02
3.400000000000000000e+01,3.888667426495333075e+02
3.500000000000000000e+01,4.019984006577490732e+02
3.600000000000000000e+01,3.425641198427456970e+02
3.700000000000000000e+01,3.835842126900731728e+02
3.800000000000000000e+01,3.298933958382783658e+02
3.900000000000000000e+01,3.687707506319342201e+02
4.000000000000000000e+01,3.468664227706931342e+02
4.100000000000000000e+01,3.232382182128947079e+02
4.200000000000000000e+01,3.419478186233137649e+02
4.300000000000000000e+01,3.143766288205396222e+02
4.400000000000000000e+01,3.314849090487335843e+02
4.500000000000000000e+01,3.092817222163571387e+02
4.600000000000000000e+01,3.026807967782383457e+02
4.700000000000000000e+01,2.875978435126696127e+02
4.800000000000000000e+01,2.982889013192722132e+02
4.900000000000000000e+01,2.899195938683556051e+02
5.000000000000000000e+01,2.667805073078060332e+02
5.100000000000000000e+01,2.809088615333935763e+02
5.200000000000000000e+01,2.629478590976149803e+02
5.300000000000000000e+01,2.765587537596043717e+02
5.400000000000000000e+01,2.485747656021036391e+02
5.500000000000000000e+01,2.527950768548222698e+02
5.600000000000000000e+01,2.184134194497282806e+02
5.700000000000000000e+01,2.439543005553155979e+02
5.800000000000000000e+01,1.965755953306643562e+02
5.900000000000000000e+01,2.276946877164305931e+02
6.000000000000000000e+01,1.940575466899642265e+02
6.100000000000000000e+01,2.240159234031439723e+02
6.200000000000000000e+01,1.977496094047800455e+02
6.300000000000000000e+01,1.889248774378227154e+02
6.400000000000000000e+01,1.951812799553395621e+02
6.500000000000000000e+01,1.759220699841262103e+02
6.600000000000000000e+01,1.873909291221333149e+02
6.700000000000000000e+01,1.640103380695182409e+02
6.800000000000000000e+01,1.385719453728305552e+02
6.900000000000000000e+01,1.635361588589395296e+02
7.000000000000000000e+01,1.457057649406604298e+02
7.100000000000000000e+01,1.535246921795159949e+02
7.200000000000000000e+01,1.307599185043219734e+02
7.300000000000000000e+01,1.311460807398022155e+02
7.400000000000000000e+01,1.167325429947858453e+02
7.500000000000000000e+01,1.360282642427779649e+02
7.600000000000000000e+01,1.290286279796799533e+02
7.700000000000000000e+01,1.232564096010998753e+02
7.800000000000000000e+01,1.169945891043191608e+02
7.900000000000000000e+01,1.112503520857931534e+02
8.000000000000000000e+01,1.010740153556989753e+02
8.100000000000000000e+01,1.048326282783073822e+02
8.200000000000000000e+01,9.307241326547875815e+01
8.300000000000000000e+01,9.526323706602974539e+01
8.400000000000000000e+01,8.816968169511120834e+01
8.500000000000000000e+01,8.794704567024889741e+01
8.600000000000000000e+01,8.654342889977712616e+01
